Task,Depends On,Module,Notes,Phase,Status,Priority
Claude Code: Write camara_politicians_sync ETL script,Test Câmara API; Run schema migrations,Data Ingestion,"Fetch all deputies via /deputados, upsert into core.politicians. Fetch party data into core.parties. Schedule weekly.",MVP,Done,P0 - Blocker
Claude Code: Write camara_votes_daily ETL script,camara_politicians_sync done,Data Ingestion,"Fetch new votacoes since last run. For each nominal vote, fetch /votacoes/{id}/votos and /votacoes/{id}/orientacoes. Upsert into core.votacoes and core.individual_votes. Log to jobs.etl_runs.",MVP,Done,P0 - Blocker
"Manus: Load TSE donation data (2018 + 2022, federal candidates only)",GCP project and BigQuery enabled,Data Ingestion,"Run BigQuery query from Blueprint §2.3 against br_tse_eleicoes.receitas_candidato. Filter: ano_eleicao IN (2018, 2022), cargo IN ('DEPUTADO FEDERAL', 'SENADOR'). Output: donations_2018.csv, donations_2022.csv",MVP,Done,P0 - Blocker
Run database schema migrations (all tables from Blueprint §3),Provision PostgreSQL on Railway,Infrastructure,"Use Claude Code. Run SQL DDL from Technical Blueprint §3.2 — schemas: core, tse, auth, jobs.",MVP,Done,P0 - Blocker
Test Câmara API endpoints manually,,Data Ingestion,"Use curl or Postman to confirm: GET /deputados, GET /votacoes, GET /deputados/{id}/discursos all return expected JSON. Base URL: https://dadosabertos.camara.leg.br/api/v2/",MVP,Done,P0 - Blocker
Auth: Follow/unfollow politician endpoints,User auth done,Auth,"POST /politicians/{id}/follow, DELETE same. Upserts into auth.politician_follows.",MVP,Done,P1 - Core
Backend: Donation endpoints,TSE data loaded; Core API done,Backend API,GET /politicians/{id}/donations and GET /donors/{id}. Masked CPF. Filter by election year.,MVP,Done,P1 - Core
"Backend: Feed endpoint (authenticated, per-user)",Core endpoints done; Auth done,Backend API,GET /feed — reverse-chronological events for followed politicians. Supports type= filter. JWT-authenticated.,MVP,Done,P1 - Core
Bug: number of votações ,,Frontend,"The number of Yes/No/Abstention/Other votes in /votacao/# always sums up to 100, which makes me think that the code is not looking beyond the first 100 votes, for some reason.

Similarly, in the list of deputados in the same page, only the first 100 are shown.",MVP,Done,P1 - Core
Build AI enrichment worker: bill summaries,bills_tramitacoes_daily done,AI Enrichment,"Background worker polls bills with null summary. Calls Claude Sonnet. Fills short_title, summary, policy_area",MVP,Done,P1 - Core
Build AI enrichment worker: policy tagging,bills_tramitacoes_daily done,AI Enrichment,"Background worker assigns tags to bills, using policy_tags (taxonomy from Blueprint §6.1).",MVP,Done,P1 - Core
Build AI enrichment worker: speech summaries and keyword extraction,camara_speeches_daily done,AI Enrichment,"Polls speeches with null summary. Calls Claude Sonnet. Fills summary (3 sentences), keywords (5–7 terms), policy_tags.",MVP,Done,P1 - Core
Build FastAPI backend with core endpoints,Database schema and initial data loaded,Backend API,"Endpoints: GET /politicians, GET /politicians/{id}, GET /politicians/{id}/votes, GET /politicians/{id}/speeches, GET /bills/{id}, GET /votacoes (paginated). All return JSON.",MVP,Done,P1 - Core
Build frontend: authenticated feed page,Feed endpoint done; Auth done,Frontend,"Left sidebar (followed politicians), main feed with event cards. Type filter bar. See Blueprint §5.2.",MVP,Done,P1 - Core
Build frontend: bill detail page,Backend bill endpoint done; AI summaries done,Frontend,"Sections: O que é?, Tramitação timeline, Votações breakdown. Track button. See Blueprint §5.4.",MVP,Done,P1 - Core
Build frontend: donation table (per-politician tab),Donation endpoints done,Frontend,Top 10 donors bar chart + full table. Toggle 2018/2022. Legal disclaimer. Masked CPF.,MVP,Done,P1 - Core
Build frontend: login and registration pages,Auth endpoints done,Frontend,Clean forms. Email verification confirmation screen. Error states.,MVP,Done,P1 - Core
Build frontend: politician profile page (6 tabs),Core API and donation endpoints done,Frontend,"Tabs: Atividade, Votações, Discursos, Projetos, Comissões, Doadores. See Blueprint §5.3. Use Base44 for rapid iteration.",MVP,Done,P1 - Core
Build frontend: unauthenticated landing page,Core API endpoints done,Frontend,"Tagline, value prop, 3 live activity cards, search bar. No login required to browse.",MVP,Done,P1 - Core
Build weekly email digest generator,Resend configured; Auth done; Feed endpoint done,Email Delivery,"Cron job every Friday. For each user with followed politicians and digest=weekly: compile last 7 days of activity, max 5 politicians × 3 items each, send via Resend. See Blueprint §5.8 for format.",MVP,Done,P1 - Core
Bulk-load TSE donations into PostgreSQL,Manus TSE load done; Run schema migrations,Data Ingestion,Use COPY command or Python psycopg2 to load Manus CSV output into tse.donors and tse.donations. Link to core.politicians via CPF.,MVP,Done,P1 - Core
